id,number,name_en,type_element,rarity,expansion
1,1/102,Alakazam,Psychic,Rare Holo,Base Set
2,2/102,Blastoise,Water,Rare Holo,Base Set
3,3/102,Chansey,Colorless,Rare Holo,Base Set
4,4/102,Charizard,Fire,Rare Holo,Base Set
5,5/102,Clefairy,Colorless,Rare Holo,Base Set
6,6/102,Gyarados,Water,Rare Holo,Base Set
7,7/102,Hitmonchan,Fighting,Rare Holo,Base Set
8,8/102,Hitmonchan,Fighting,Rare Holo,Base Set
9,9/102,Magneton,Lightning,Rare Holo,Base Set
10,10/102,Mewtwo,Psychic,Rare Holo,Base Set
11,11/102,Nidoking,Grass,Rare Holo,Base Set
12,12/102,Ninetales,Fire,Rare Holo,Base Set
13,13/102,Poliwrath,Water,Rare Holo,Base Set
14,14/102,Raichu,Lightning,Rare Holo,Base Set
15,15/102,Venusaur,Grass,Rare Holo,Base Set
16,16/102,Zapdos,Lightning,Rare Holo,Base Set
17,17/102,Beedrill,Grass,Rare,Base Set
18,18/102,Dragonair,Colorless,Rare,Base Set
19,19/102,Dugtrio,Fighting,Rare,Base Set
20,20/102,Electabuzz,Lightning,Rare,Base Set
21,21/102,Electrode,Lightning,Rare,Base Set
22,22/102,Pidgeotto,Colorless,Rare,Base Set
23,23/102,Arcanine,Fire,Uncommon,Base Set
24,24/102,Charmeleon,Fire,Uncommon,Base Set
25,25/102,Dewgong,Water,Uncommon,Base Set
26,26/102,Dratini,Colorless,Uncommon,Base Set
27,27/102,Farfetch'd,Colorless,Uncommon,Base Set
28,28/102,Growlithe,Fire,Uncommon,Base Set
29,29/102,Haunter,Psychic,Uncommon,Base Set
30,30/102,Ivysaur,Grass,Uncommon,Base Set
31,31/102,Jynx,Psychic,Uncommon,Base Set
32,32/102,Kadabra,Psychic,Uncommon,Base Set
33,33/102,Kakuna,Grass,Uncommon,Base Set
34,34/102,Machoke,Fighting,Uncommon,Base Set
35,35/102,Magikarp,Water,Uncommon,Base Set
36,36/102,Magmar,Fire,Uncommon,Base Set
37,37/102,Nidorino,Grass,Uncommon,Base Set
38,38/102,Poliwhirl,Water,Uncommon,Base Set
39,39/102,Porygon,Colorless,Uncommon,Base Set
40,40/102,Raticate,Colorless,Uncommon,Base Set
41,41/102,Seel,Water,Uncommon,Base Set
42,42/102,Wartortle,Water,Uncommon,Base Set
43,43/102,Abra,Psychic,Common,Base Set
44,44/102,Bulbasaur,Grass,Common,Base Set
45,45/102,Caterpie,Grass,Common,Base Set
46,46/102,Charmander,Fire,Common,Base Set
47,47/102,Diglett,Fighting,Common,Base Set
