id,number,name_en,element,rarity,expansion
1,1/108,Exeggcute,Grass,Common,Roaring Skies
2,2/108,Exeggutor,Grass,Uncommon,Roaring Skies
3,3/108,Wurmple,Grass,Common,Roaring Skies
4,4/108,Silcoon,Grass,Uncommon,Roaring Skies
5,5/108,Beautifly,Grass,Rare Holo,Roaring Skies
6,6/108,Cascoon,Grass,Common,Roaring Skies
7,7/108,Dustox,Grass,Uncommon,Roaring Skies
8,8/108,Dustox,Grass,Rare,Roaring Skies
9,9/108,Nincada,Grass,Common,Roaring Skies
10,10/108,Ninjask,Grass,Uncommon,Roaring Skies
11,11/108,Shedinja,Grass,Rare,Roaring Skies
12,12/108,Tropius,Grass,Uncommon,Roaring Skies
13,13/108,Victini,Fire,Rare,Roaring Skies
14,14/108,Fletchinder,Fire,Uncommon,Roaring Skies
15,15/108,Talonflame,Fire,Rare,Roaring Skies
16,16/108,Articuno,Water,Rare,Roaring Skies
17,17/108,Articuno,Water,Rare,Roaring Skies
18,18/108,Wingull,Water,Common,Roaring Skies
19,19/108,Pelipper,Water,Uncommon,Roaring Skies
20,20/108,Pikachu,Lightning,Common,Roaring Skies
21,21/108,Voltorb,Lightning,Common,Roaring Skies
22,22/108,Electrode,Lightning,Uncommon,Roaring Skies
23,23/108,Zapdos,Lightning,Rare,Roaring Skies
24,24/108,Electrike,Lightning,Common,Roaring Skies
25,25/108,Manectric,Lightning,Uncommon,Roaring Skies
26,26/108,ThundurusEX,Lightning,Rare Holo ex,Roaring Skies
27,27/108,Natu,Psychic,Common,Roaring Skies
28,28/108,Natu,Psychic,Common,Roaring Skies
29,29/108,Xatu,Psychic,Rare,Roaring Skies
30,30/108,Shuppet,Psychic,Common,Roaring Skies
31,31/108,Banette,Psychic,Rare,Roaring Skies
32,32/108,Banette,Psychic,Rare,Roaring Skies
33,33/108,Deoxys,Psychic,Rare Holo,Roaring Skies
34,34/108,GalladeEX,Psychic,Rare Holo ex,Roaring Skies
35,35/108,MegaGalladeEX,Psychic,Rare Holo ex,Roaring Skies
36,36/108,Gligar,Fighting,Common,Roaring Skies
37,37/108,Gliscor,Fighting,Uncommon,Roaring Skies
38,38/108,Binacle,Fighting,Common,Roaring Skies
39,39/108,Hawlucha,Fighting,Common,Roaring Skies
40,40/108,Absol,Darkness,Rare Holo,Roaring Skies
41,41/108,Inkay,Darkness,Common,Roaring Skies
42,42/108,Jirachi,Metal,Rare Holo,Roaring Skies
43,43/108,Togepi,Fairy,Common,Roaring Skies
44,44/108,Togetic,Fairy,Uncommon,Roaring Skies
45,45/108,Togekiss,Fairy,Rare,Roaring Skies
46,46/108,Togekiss,Fairy,Rare Holo,Roaring Skies
47,47/108,Carbink,Fairy,Rare,Roaring Skies
48,48/108,Klefki,Fairy,Rare,Roaring Skies
49,49/108,Dratini,Dragon,Common,Roaring Skies
50,50/108,Dragonair,Dragon,Uncommon,Roaring Skies
51,51/108,Dragonite,Dragon,Rare,Roaring Skies
52,52/108,Dragonite,Dragon,Rare Holo,Roaring Skies
53,53/108,Altaria,Dragon,Uncommon,Roaring Skies
54,54/108,Bagon,Dragon,Common,Roaring Skies
55,55/108,Bagon,Dragon,Common,Roaring Skies
56,56/108,Shelgon,Dragon,Uncommon,Roaring Skies
57,57/108,Salamence,Dragon,Rare Holo,Roaring Skies
58,58/108,LatiosEX,Dragon,Rare Holo ex,Roaring Skies
59,59/108,MegaLatiosEX,Dragon,Rare Holo ex,Roaring Skies
60,60/108,RayquazaEX,Dragon,Rare Holo ex,Roaring Skies
61,61/108,MegaRayquazaEX,Dragon,Rare Holo ex,Roaring Skies
62,62/108,HydreigonEX,Dragon,Rare Holo ex,Roaring Skies
63,63/108,Reshiram,Dragon,Rare Holo,Roaring Skies
64,64/108,Zekrom,Dragon,Rare Holo,Roaring Skies
65,65/108,Spearow,Colorless,Common,Roaring Skies
66,66/108,Fearow,Colorless,Uncommon,Roaring Skies
67,67/108,Meowth,Colorless,Common,Roaring Skies
68,68/108,Dunsparce,Colorless,Common,Roaring Skies
69,69/108,Skarmory,Colorless,Rare,Roaring Skies
70,70/108,Taillow,Colorless,Common,Roaring Skies
71,71/108,Swellow,Colorless,Rare,Roaring Skies
72,72/108,Swellow,Colorless,Rare Holo,Roaring Skies
73,73/108,Swablu,Colorless,Common,Roaring Skies
74,74/108,Altaria,Colorless,Rare,Roaring Skies
75,75/108,RayquazaEX,Colorless,Rare Holo ex,Roaring Skies
76,76/108,MegaRayquazaEX,Colorless,Rare Holo ex,Roaring Skies
77,77/108,ShayminEX,Colorless,Rare Holo ex,Roaring Skies
78,78/108,Pidove,Colorless,Common,Roaring Skies
79,79/108,Tranquill,Colorless,Uncommon,Roaring Skies
80,80/108,Unfezant,Colorless,Uncommon,Roaring Skies
81,81/108,Unfezant,Colorless,Rare,Roaring Skies
82,82/108,Fletchling,Colorless,Common,Roaring Skies
83,83/108,Gallade Spirit Link,I,Uncommon,Roaring Skies
84,84/108,Healing Scarf,I,Uncommon,Roaring Skies
85,85/108,Latios Spirit Link,I,Uncommon,Roaring Skies
86,86/108,Mega Turbo,I,Uncommon,Roaring Skies
87,87/108,Rayquaza Spirit Link,I,Uncommon,Roaring Skies
88,88/108,Revive,I,Uncommon,Roaring Skies
89,89/108,Sky Field,St,Uncommon,Roaring Skies
90,90/108,Steven,Su,Uncommon,Roaring Skies
91,91/108,Switch,I,Uncommon,Roaring Skies
92,92/108,Trainers' Mail,I,Uncommon,Roaring Skies
93,93/108,Ultra Ball,I,Uncommon,Roaring Skies
94,94/108,Wally,Su,Uncommon,Roaring Skies
95,95/108,Wide Lens,I,Uncommon,Roaring Skies
96,96/108,Winona,Su,Uncommon,Roaring Skies
97,97/108,Double Dragon Energy,Dragon E,Uncommon,Roaring Skies
98,98/108,ThundurusEX,Lightning,Rare Ultra,Roaring Skies
99,99/108,GalladeEX,Psychic,Rare Ultra,Roaring Skies
100,100/108,MegaGalladeEX,Psychic,Rare Ultra,Roaring Skies
101,101/108,LatiosEX,Dragon,Rare Ultra,Roaring Skies
102,102/108,MegaLatiosEX,Dragon,Rare Ultra,Roaring Skies
103,103/108,HydreigonEX,Dragon,Rare Ultra,Roaring Skies
104,104/108,RayquazaEX,Colorless,Rare Ultra,Roaring Skies
105,105/108,MegaRayquazaEX,Colorless,Rare Ultra,Roaring Skies
106,106/108,ShayminEX,Colorless,Rare Ultra,Roaring Skies
107,107/108,Wally,Su,Rare Ultra,Roaring Skies
108,108/108,Winona,Su,Rare Ultra,Roaring Skies
109,109/108,Energy Switch,I,Rare Secret,Roaring Skies
110,110/108,VS Seeker,I,Rare Secret,Roaring Skies
